Materia,materia_codificada,semestre_pred,cupos_usados_estimados,cupos_usados_estimados_normalizado
ADMINISTRACION DE BASES DE DATOS,0,2,176.83986759930542,-0.4976555109024048
ADMINISTRACION DE REDES,1,2,73.05920578536501,-0.9427568316459656
ADMINISTRACION DE SERVIDORES,2,2,107.58070102419222,-0.7946987748146057
ALGORITMIA,3,2,50.008524317098136,-1.0416181087493896
ALMACENES DE DATOS (DATA WAREHOUSE),4,2,174.51910497052052,-0.507608950138092
BASES DE DATOS,5,2,30.73692901414762,-1.1242713928222656
CLASIFICACION INTELIGENTE DE DATOS,6,2,169.73272574549242,-0.5281370878219604
CONTROL DE PROYECTOS,7,2,16.562420040750226,-1.1850639581680298
ESTADISTICA Y PROCESOS ESTOCASTICOS,8,2,162.0823432955001,-0.5609485507011414
ESTRUCTURAS DE DATOS I,9,2,-1.0182626438899547,-1.260465145111084
ESTRUCTURAS DE DATOS II,10,2,-1.1801410870401128,-1.2611594200134277
HIPERMEDIA,11,2,-0.4159714377394721,-1.257881999015808
INGENIERIA DE SOFTWARE I,12,2,33.6302838249577,-1.1118621826171875
INGENIERIA DE SOFTWARE II,13,2,141.9359956876732,-0.6473535299301147
MATEMATICA DISCRETA,14,2,-4.219336590022067,-1.2741941213607788
METODOS MATEMATICOS I,15,2,121.3031233084005,-0.735845148563385
METODOS MATEMATICOS II,16,2,158.74108495238522,-0.5752787590026855
MINERIA DE DATOS,17,2,169.21964279196732,-0.5303376317024231
PROGRAMACION,18,2,62.88478151806126,-0.9863935708999634
PROGRAMACION PARA INTERNET,19,2,92.75788611891716,-0.8582718372344971
SEGURIDAD DE LA INFORMACION,20,2,44.760316233525856,-1.064126968383789
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,21,2,19.047576565828365,-1.1744054555892944
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,22,2,6.269686090536311,-1.2292081117630005
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,23,2,-27.112517337459565,-1.3723798990249634
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,24,2,-18.48648650624557,-1.3353840112686157
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,25,2,66.11656900809461,-0.9725328683853149
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,26,2,46.80447629929418,-1.0553598403930664
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,27,2,187.0678737980623,-0.45378896594047546
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,28,2,13.412822550097871,-1.1985721588134766
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,29,2,187.4126437515023,-0.4523102939128876
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",30,2,178.65662236242386,-0.48986369371414185
SISTEMAS BASADOS EN CONOCIMIENTO,31,2,195.04771807090304,-0.41956448554992676
TEORIA DE LA COMPUTACION,32,2,-2.3231296411645417,-1.266061544418335
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",33,2,199.5577935298349,-0.4002213776111603
