Materia,materia_codificada,semestre_pred,cupos_usados_estimados
ADMINISTRACION DE BASES DE DATOS,0,2,-0.49183106422424316
ADMINISTRACION DE REDES,1,2,-1.0360302925109863
ADMINISTRACION DE SERVIDORES,2,2,-1.0428951978683472
ALGORITMIA,3,2,-1.1211049556732178
ALMACENES DE DATOS (DATA WAREHOUSE),4,2,-0.6635544300079346
BASES DE DATOS,5,2,-1.2303152084350586
CLASIFICACION INTELIGENTE DE DATOS,6,2,-0.6452114582061768
CONTROL DE PROYECTOS,7,2,-1.1506997346878052
ESTADISTICA Y PROCESOS ESTOCASTICOS,8,2,-0.8512269854545593
ESTRUCTURAS DE DATOS I,9,2,-1.1635313034057617
ESTRUCTURAS DE DATOS II,10,2,-1.4113680124282837
HIPERMEDIA,11,2,-1.3422167301177979
INGENIERIA DE SOFTWARE I,12,2,-1.3366793394088745
INGENIERIA DE SOFTWARE II,13,2,-1.0487643480300903
MATEMATICA DISCRETA,14,2,-1.2697893381118774
METODOS MATEMATICOS I,15,2,-0.9964011907577515
METODOS MATEMATICOS II,16,2,-0.6781622767448425
MINERIA DE DATOS,17,2,-0.8768624663352966
PROGRAMACION,18,2,-1.050038456916809
PROGRAMACION PARA INTERNET,19,2,-1.099943995475769
SEGURIDAD DE LA INFORMACION,20,2,-1.3026354312896729
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,21,2,-1.3852537870407104
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,22,2,-1.3024182319641113
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,23,2,-1.3595095872879028
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,24,2,-1.3186715841293335
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,25,2,-1.1858575344085693
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,26,2,-0.965183675289154
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,27,2,-0.6542444229125977
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,28,2,-0.9057523012161255
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,29,2,-0.5184977054595947
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",30,2,-0.44119298458099365
SISTEMAS BASADOS EN CONOCIMIENTO,31,2,-0.40434375405311584
TEORIA DE LA COMPUTACION,32,2,-1.0814390182495117
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",33,2,-0.37123939394950867
