Materia,materia_codificada,semestre_pred,cupos_usados_estimados
ADMINISTRACION DE BASES DE DATOS,0,2,-0.6553373336791992
ADMINISTRACION DE REDES,1,2,-1.2399386167526245
ADMINISTRACION DE SERVIDORES,2,2,-1.2115771770477295
ALGORITMIA,3,2,-1.2880181074142456
ALMACENES DE DATOS (DATA WAREHOUSE),4,2,-0.7602391242980957
BASES DE DATOS,5,2,-1.3809667825698853
CLASIFICACION INTELIGENTE DE DATOS,6,2,-0.7239759564399719
CONTROL DE PROYECTOS,7,2,-1.1868592500686646
ESTADISTICA Y PROCESOS ESTOCASTICOS,8,2,-0.847625732421875
ESTRUCTURAS DE DATOS I,9,2,-1.2911832332611084
ESTRUCTURAS DE DATOS II,10,2,-1.3870718479156494
HIPERMEDIA,11,2,-1.35868239402771
INGENIERIA DE SOFTWARE I,12,2,-1.4660992622375488
INGENIERIA DE SOFTWARE II,13,2,-0.9919131994247437
MATEMATICA DISCRETA,14,2,-1.186345100402832
METODOS MATEMATICOS I,15,2,-1.0923289060592651
METODOS MATEMATICOS II,16,2,-0.7923757433891296
MINERIA DE DATOS,17,2,-0.834738552570343
PROGRAMACION,18,2,-1.1633480787277222
PROGRAMACION PARA INTERNET,19,2,-1.0606355667114258
SEGURIDAD DE LA INFORMACION,20,2,-1.2382742166519165
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,21,2,-1.4100475311279297
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,22,2,-1.2923657894134521
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,23,2,-1.2867590188980103
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,24,2,-1.3028324842453003
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,25,2,-1.2088605165481567
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,26,2,-1.089061975479126
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,27,2,-0.7917155027389526
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,28,2,-1.061206340789795
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,29,2,-0.5467819571495056
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",30,2,-0.541953980922699
SISTEMAS BASADOS EN CONOCIMIENTO,31,2,-0.4712752103805542
TEORIA DE LA COMPUTACION,32,2,-1.0103845596313477
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",33,2,-0.4886058270931244
