Materia,Total_Cupos,Total_Secciones,Residuos_Cupos,semestre_numerico,semestre_original,cupos_usados,nuevos_alumnos,lag1_cupos_usados,registrados,preregistrados,calendario
ADMINISTRACION DE BASES DE DATOS,34.0,1,0.0,4032,2016A,34.0,186,0.0,145,132,A
ADMINISTRACION DE BASES DE DATOS,160.0,4,53.0,4033,2016B,107.0,186,34.0,154,116,B
ADMINISTRACION DE BASES DE DATOS,240.0,6,127.0,4034,2017A,113.0,186,107.0,145,132,A
ADMINISTRACION DE BASES DE DATOS,199.0,6,77.0,4035,2017B,122.0,186,113.0,154,116,B
ADMINISTRACION DE BASES DE DATOS,150.0,5,12.0,4036,2018A,138.0,186,122.0,145,132,A
ADMINISTRACION DE BASES DE DATOS,125.0,5,-2.0,4037,2018B,127.0,186,138.0,137,78,B
ADMINISTRACION DE BASES DE DATOS,138.0,5,5.0,4038,2019A,133.0,188,127.0,124,94,A
ADMINISTRACION DE BASES DE DATOS,120.0,5,-7.0,4039,2019B,127.0,225,133.0,129,100,B
ADMINISTRACION DE BASES DE DATOS,185.0,5,27.0,4040,2020A,158.0,225,127.0,126,92,A
ADMINISTRACION DE BASES DE DATOS,280.0,7,141.0,4041,2020B,139.0,225,158.0,158,78,B
ADMINISTRACION DE BASES DE DATOS,310.0,8,166.0,4042,2021A,144.0,275,139.0,111,75,A
ADMINISTRACION DE BASES DE DATOS,222.0,8,71.0,4043,2021B,151.0,275,144.0,144,86,B
ADMINISTRACION DE BASES DE DATOS,211.0,7,4.0,4044,2022A,207.0,275,151.0,151,117,A
ADMINISTRACION DE BASES DE DATOS,275.0,7,83.0,4045,2022B,192.0,275,207.0,207,103,B
ADMINISTRACION DE BASES DE DATOS,240.0,6,104.0,4046,2023A,136.0,275,192.0,192,137,A
ADMINISTRACION DE BASES DE DATOS,160.0,5,2.0,4047,2023B,158.0,0,136.0,136,152,B
ADMINISTRACION DE BASES DE DATOS,200.0,5,32.0,4048,2024A,168.0,0,158.0,158,189,A
ADMINISTRACION DE BASES DE DATOS,151.0,4,0.0,4049,2024B,151.0,0,168.0,168,213,B
ADMINISTRACION DE BASES DE DATOS,216.0,6,27.0,4050,2025A,189.0,0,151.0,151,223,A
ADMINISTRACION DE REDES,72.0,4,14.0,4028,2014A,58.0,186,0.0,189,172,A
ADMINISTRACION DE REDES,168.0,7,56.0,4029,2014B,112.0,186,58.0,159,191,B
ADMINISTRACION DE REDES,409.0,10,35.0,4030,2015A,374.0,186,112.0,189,172,A
