Materia,materia_codificada,semestre_pred,cupos_usados_estimados
ADMINISTRACION DE BASES DE DATOS,0,2,-0.3993612229824066
ADMINISTRACION DE REDES,1,2,-0.8238190412521362
ADMINISTRACION DE SERVIDORES,2,2,-0.770462691783905
ALGORITMIA,3,2,-0.8705939054489136
ALMACENES DE DATOS (DATA WAREHOUSE),4,2,-0.41693997383117676
BASES DE DATOS,5,2,-1.0448582172393799
CLASIFICACION INTELIGENTE DE DATOS,6,2,-0.4618777632713318
CONTROL DE PROYECTOS,7,2,-0.965803325176239
ESTADISTICA Y PROCESOS ESTOCASTICOS,8,2,-0.5192968249320984
ESTRUCTURAS DE DATOS I,9,2,-0.9712532162666321
ESTRUCTURAS DE DATOS II,10,2,-1.1825017929077148
HIPERMEDIA,11,2,-1.1927367448806763
INGENIERIA DE SOFTWARE I,12,2,-1.1374421119689941
INGENIERIA DE SOFTWARE II,13,2,-0.7409159541130066
MATEMATICA DISCRETA,14,2,-1.0677995681762695
METODOS MATEMATICOS I,15,2,-0.859561026096344
METODOS MATEMATICOS II,16,2,-0.5829628705978394
MINERIA DE DATOS,17,2,-0.6723338961601257
PROGRAMACION,18,2,-1.0447680950164795
PROGRAMACION PARA INTERNET,19,2,-0.7385053038597107
SEGURIDAD DE LA INFORMACION,20,2,-1.0231379270553589
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,21,2,-1.2332069873809814
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,22,2,-1.2739099264144897
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,23,2,-1.1352803707122803
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,24,2,-1.2271744012832642
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,25,2,-0.9589771628379822
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,26,2,-0.9574058651924133
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,27,2,-0.715721607208252
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,28,2,-1.015571117401123
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,29,2,-0.4046260118484497
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",30,2,-0.31610777974128723
SISTEMAS BASADOS EN CONOCIMIENTO,31,2,-0.34732380509376526
TEORIA DE LA COMPUTACION,32,2,-0.9653263688087463
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",33,2,-0.3668755292892456
