Materia,materia_codificada,semestre_pred,cupos_usados_estimados
ADMINISTRACION DE BASES DE DATOS,0,2,-0.4476895034313202
ADMINISTRACION DE REDES,1,2,-1.0136971473693848
ADMINISTRACION DE SERVIDORES,2,2,-0.80960613489151
ALGORITMIA,3,2,-1.0001887083053589
ALMACENES DE DATOS (DATA WAREHOUSE),4,2,-0.40044301748275757
BASES DE DATOS,5,2,-1.0885331630706787
CLASIFICACION INTELIGENTE DE DATOS,6,2,-0.34517890214920044
CONTROL DE PROYECTOS,7,2,-1.03217351436615
ESTADISTICA Y PROCESOS ESTOCASTICOS,8,2,-0.575064480304718
ESTRUCTURAS DE DATOS I,9,2,-1.0555671453475952
ESTRUCTURAS DE DATOS II,10,2,-1.1959502696990967
HIPERMEDIA,11,2,-1.1307895183563232
INGENIERIA DE SOFTWARE I,12,2,-0.9977262616157532
INGENIERIA DE SOFTWARE II,13,2,-0.6312966346740723
MATEMATICA DISCRETA,14,2,-1.0396125316619873
METODOS MATEMATICOS I,15,2,-0.9000073671340942
METODOS MATEMATICOS II,16,2,-0.31960931420326233
MINERIA DE DATOS,17,2,-0.5712229609489441
PROGRAMACION,18,2,-0.9744217991828918
PROGRAMACION PARA INTERNET,19,2,-0.9066774249076843
SEGURIDAD DE LA INFORMACION,20,2,-1.0425505638122559
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,21,2,-1.076590895652771
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,22,2,-1.1015666723251343
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,23,2,-1.2027130126953125
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,24,2,-1.14781653881073
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,25,2,-0.958574652671814
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,26,2,-0.9766866564750671
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,27,2,-0.48340579867362976
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,28,2,-1.0021414756774902
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,29,2,-0.3711269497871399
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",30,2,-0.3650980591773987
SISTEMAS BASADOS EN CONOCIMIENTO,31,2,-0.340984046459198
TEORIA DE LA COMPUTACION,32,2,-0.9536999464035034
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",33,2,-0.3282744288444519
