Materia,materia_codificada,semestre_pred,cupos_usados_estimados,cupos_usados_estimados_normalizado
ADMINISTRACION DE BASES DE DATOS,0,2,167.37628815417605,-0.5382435321807861
ADMINISTRACION DE REDES,1,2,-3.1486151980182626,-1.2696019411087036
ADMINISTRACION DE SERVIDORES,2,2,22.64311803688952,-1.158984661102295
ALGORITMIA,3,2,-6.37531619164082,-1.2834408283233643
ALMACENES DE DATOS (DATA WAREHOUSE),4,2,145.44021648137004,-0.6323243975639343
BASES DE DATOS,5,2,-26.27068828394158,-1.3687694072723389
CLASIFICACION INTELIGENTE DE DATOS,6,2,132.7660293837211,-0.6866822838783264
CONTROL DE PROYECTOS,7,2,10.799892123378072,-1.2097786664962769
ESTADISTICA Y PROCESOS ESTOCASTICOS,8,2,113.93608372404566,-0.7674413919448853
ESTRUCTURAS DE DATOS I,9,2,23.824547162249587,-1.153917670249939
ESTRUCTURAS DE DATOS II,10,2,-3.5430827229473607,-1.2712937593460083
HIPERMEDIA,11,2,-20.066052104765504,-1.342158555984497
INGENIERIA DE SOFTWARE I,12,2,2.0132058317575456,-1.247463583946228
INGENIERIA DE SOFTWARE II,13,2,55.76349197751,-1.0169358253479004
MATEMATICA DISCRETA,14,2,32.12704346766213,-1.1183093786239624
METODOS MATEMATICOS I,15,2,74.29519661812617,-0.9374558329582214
METODOS MATEMATICOS II,16,2,137.60423250250838,-0.6659318804740906
MINERIA DE DATOS,17,2,103.51394986104236,-0.8121405243873596
PROGRAMACION,18,2,54.572807096386015,-1.0220425128936768
PROGRAMACION PARA INTERNET,19,2,101.6822691494398,-0.8199963569641113
SEGURIDAD DE LA INFORMACION,20,2,22.06120061144452,-1.16148042678833
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,21,2,-5.985073516189573,-1.2817671298980713
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,22,2,-17.332908033364276,-1.3304364681243896
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,23,2,12.45750625698821,-1.202669382095337
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,24,2,13.697999889850735,-1.1973490715026855
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,25,2,75.70642142149859,-0.9314032793045044
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,26,2,85.60677247645998,-0.8889420032501221
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,27,2,114.98367962417086,-0.7629483938217163
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,28,2,69.83239361149305,-0.9565961956977844
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,29,2,173.89364657989788,-0.5102914571762085
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",30,2,134.72966715384965,-0.6782605051994324
SISTEMAS BASADOS EN CONOCIMIENTO,31,2,196.98360247127107,-0.41126173734664917
TEORIA DE LA COMPUTACION,32,2,42.46839098193328,-1.0739567279815674
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",33,2,199.44437577789904,-0.40070781111717224
