Materia,materia_codificada,semestre_pred,cupos_usados_estimados,cupos_usados_estimados_normalizado
ADMINISTRACION DE BASES DE DATOS,0,2,171.90646639195543,-0.518814206123352
ADMINISTRACION DE REDES,1,2,38.03632931426378,-1.0929652452468872
ADMINISTRACION DE SERVIDORES,2,2,85.13703592267606,-0.8909566402435303
ALGORITMIA,3,2,19.04668712383301,-1.17440927028656
ALMACENES DE DATOS (DATA WAREHOUSE),4,2,178.34352488253634,-0.4912065267562866
BASES DE DATOS,5,2,11.028534306302731,-1.2087980508804321
CLASIFICACION INTELIGENTE DE DATOS,6,2,174.47824622886003,-0.5077841877937317
CONTROL DE PROYECTOS,7,2,15.664250395840554,-1.1889160871505737
ESTADISTICA Y PROCESOS ESTOCASTICOS,8,2,159.93628653114175,-0.5701526999473572
ESTRUCTURAS DE DATOS I,9,2,-9.544120070379847,-1.2970314025878906
ESTRUCTURAS DE DATOS II,10,2,-1.8536710380041654,-1.2640480995178223
HIPERMEDIA,11,2,-12.351449163204109,-1.309071660041809
INGENIERIA DE SOFTWARE I,12,2,21.522865843770774,-1.1637892723083496
INGENIERIA DE SOFTWARE II,13,2,141.39982893486302,-0.6496530771255493
MATEMATICA DISCRETA,14,2,-0.38892684206894046,-1.2577660083770752
METODOS MATEMATICOS I,15,2,111.00216201972978,-0.7800245881080627
METODOS MATEMATICOS II,16,2,181.33741443388115,-0.4783661365509033
MINERIA DE DATOS,17,2,163.66503583853483,-0.5541605949401855
PROGRAMACION,18,2,72.16765136529563,-0.9465805888175964
PROGRAMACION PARA INTERNET,19,2,110.97809149573115,-0.7801278233528137
SEGURIDAD DE LA INFORMACION,20,2,44.18120610937865,-1.0666106939315796
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,21,2,22.28008672748291,-1.1605416536331177
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,22,2,54.81631963767009,-1.0209981203079224
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,23,2,-4.1415382104930245,-1.2738604545593262
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,24,2,21.639466130346136,-1.163289189338684
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,25,2,89.48397521188619,-0.8723132014274597
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,26,2,73.97674858873549,-0.9388216137886047
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,27,2,193.32577921424,-0.4269496500492096
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,28,2,50.409857222428684,-1.039896845817566
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,29,2,181.15382109826686,-0.4791535437107086
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",30,2,183.8025863091267,-0.467793345451355
SISTEMAS BASADOS EN CONOCIMIENTO,31,2,187.97492396539408,-0.44989874958992004
TEORIA DE LA COMPUTACION,32,2,34.303869366046456,-1.1089732646942139
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",33,2,190.54595333561514,-0.43887194991111755
