Materia,materia_codificada,semestre_pred,cupos_usados_estimados,cupos_usados_estimados_normalizado
ADMINISTRACION DE BASES DE DATOS,0,2,163.48470147398157,-0.554934024810791
ADMINISTRACION DE REDES,1,2,24.76893999585411,-1.149867296218872
ADMINISTRACION DE SERVIDORES,2,2,43.66944342131535,-1.0688055753707886
ALGORITMIA,3,2,27.739509489883858,-1.1371269226074219
ALMACENES DE DATOS (DATA WAREHOUSE),4,2,141.78586065836765,-0.6479974389076233
BASES DE DATOS,5,2,6.471922964224575,-1.228340744972229
CLASIFICACION INTELIGENTE DE DATOS,6,2,138.91115633439713,-0.6603266596794128
CONTROL DE PROYECTOS,7,2,30.32647932836494,-1.126031756401062
ESTADISTICA Y PROCESOS ESTOCASTICOS,8,2,130.26459884963467,-0.6974105834960938
ESTRUCTURAS DE DATOS I,9,2,1.134965246555737,-1.251230239868164
ESTRUCTURAS DE DATOS II,10,2,-12.680375931102219,-1.310482382774353
HIPERMEDIA,11,2,-1.8259037707124435,-1.263929009437561
INGENIERIA DE SOFTWARE I,12,2,-0.8953250830978732,-1.2599378824234009
INGENIERIA DE SOFTWARE II,13,2,74.79600805162193,-0.9353079199790955
MATEMATICA DISCRETA,14,2,3.4094907891146704,-1.2414751052856445
METODOS MATEMATICOS I,15,2,84.17436783557375,-0.8950853943824768
METODOS MATEMATICOS II,16,2,140.914777301722,-0.6517333984375
MINERIA DE DATOS,17,2,116.37094508379408,-0.756998598575592
PROGRAMACION,18,2,44.48875847432652,-1.0652916431427002
PROGRAMACION PARA INTERNET,19,2,69.62950355383944,-0.9574663639068604
SEGURIDAD DE LA INFORMACION,20,2,28.08641966312507,-1.1356390714645386
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,21,2,18.13806653547823,-1.178306221961975
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,22,2,31.995878568413218,-1.1188719272613525
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,23,2,7.340490867727169,-1.2246155738830566
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,24,2,0.7365230277100068,-1.2529391050338745
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,25,2,53.484769380535624,-1.026708960533142
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,26,2,64.7355296424387,-0.9784559607505798
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,27,2,143.0813329245665,-0.6424413323402405
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,28,2,66.04021597180795,-0.9728603363037109
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,29,2,184.3030086117495,-0.4656471014022827
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",30,2,190.78629723979083,-0.43784114718437195
SISTEMAS BASADOS EN CONOCIMIENTO,31,2,199.804530298352,-0.399163156747818
TEORIA DE LA COMPUTACION,32,2,53.366251234657824,-1.0272172689437866
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",33,2,193.87109054256464,-0.4246108829975128
